OrderID,OrderDate,ShipDate,CustomerID,ProductID,RegionID,SalesChannel,PaymentMethod,Quantity,UnitPrice,Discount,TotalSales,TotalCost,TotalProfit
ORD-2023-00767,2023-01-16,2023-01-19,CUST-0062,PRD-017,R101,Distributor,Cash,6,139,0.1,750.6,390,360.6
ORD-2023-01760,2023-01-16,2023-01-18,CUST-0199,PRD-009,R103,In-Store,Bank Transfer,5,329,0.05,1562.75,900,662.75
ORD-2023-01880,2023-01-17,2023-01-20,CUST-0134,PRD-019,R102,In-Store,Credit Card,1,175,0.2,140,75,65
ORD-2023-01949,2023-01-17,2023-01-19,CUST-0126,PRD-025,R103,Online,Bank Transfer,1,620,0,620,290,330
ORD-2023-02031,2023-01-17,2023-01-22,CUST-0066,PRD-010,R103,Distributor,Cash,3,799,0,2397,1260,1137
ORD-2023-00449,2023-01-18,2023-01-23,CUST-0226,PRD-015,R107,In-Store,Bank Transfer,6,15,0.1,81,30,51
ORD-2023-02893,2023-01-18,2023-01-22,CUST-0204,PRD-002,R108,Online,Cash,6,1699,0.05,9684.3,6600,3084.3
ORD-2023-00678,2023-01-19,2023-01-22,CUST-0018,PRD-004,R105,Online,Cash,2,2199,0.05,4178.1,2800,1378.1
ORD-2023-03118,2023-01-19,2023-01-20,CUST-0127,PRD-009,R101,Online,Cash,5,329,0.15,1398.25,900,498.25
ORD-2023-02220,2023-01-20,2023-01-25,CUST-0201,PRD-027,R106,In-Store,Bank Transfer,1,260,0,260,115,145
ORD-2023-02383,2023-01-20,2023-01-23,CUST-0093,PRD-006,R103,Distributor,Cash,4,89,0,356,140,216
ORD-2023-00842,2023-01-21,2023-01-25,CUST-0107,PRD-028,R104,Distributor,Bank Transfer,2,135,0,270,120,150
ORD-2023-02743,2023-01-21,2023-01-24,CUST-0006,PRD-022,R103,Distributor,Credit Card,4,450,0,1800,840,960
ORD-2023-03328,2023-01-21,2023-01-22,CUST-0106,PRD-025,R103,Online,Credit Card,5,620,0.05,2945,1450,1495
ORD-2023-00371,2023-01-22,2023-01-27,CUST-0028,PRD-005,R108,Online,Bank Transfer,5,39,0,195,75,120
ORD-2023-02675,2023-01-22,2023-01-25,CUST-0026,PRD-014,R102,Distributor,Bank Transfer,3,22,0,66,24,42
ORD-2023-03174,2023-01-22,2023-01-25,CUST-0079,PRD-025,R106,Distributor,Credit Card,2,620,0.1,1116,580,536
ORD-2023-00325,2023-01-23,2023-01-24,CUST-0055,PRD-016,R104,Distributor,Bank Transfer,3,24,0.05,68.4,27,41.4
ORD-2023-00862,2023-01-23,2023-01-27,CUST-0157,PRD-014,R108,Online,PayPal,1,22,0.1,19.8,8,11.8
ORD-2023-02536,2023-01-23,2023-01-27,CUST-0003,PRD-024,R103,In-Store,PayPal,1,549,0.1,494.1,240,254.1
ORD-2023-03420,2023-01-23,2023-01-25,CUST-0084,PRD-025,R108,In-Store,PayPal,6,620,0.05,3534,1740,1794
ORD-2023-03474,2023-01-23,2023-01-26,CUST-0247,PRD-026,R102,Distributor,Bank Transfer,5,210,0,1050,475,575
ORD-2023-00040,2023-01-24,2023-01-26,CUST-0045,PRD-010,R103,In-Store,PayPal,3,799,0.15,2037.45,1260,777.45
ORD-2023-00831,2023-01-24,2023-01-27,CUST-0047,PRD-009,R103,Online,PayPal,6,329,0,1974,1080,894
ORD-2023-02277,2023-01-24,2023-01-26,CUST-0101,PRD-016,R106,Online,Cash,6,24,0.05,136.8,54,82.8
ORD-2023-00231,2023-01-25,2023-01-28,CUST-0220,PRD-012,R108,Online,PayPal,5,199,0,995,450,545
ORD-2023-01822,2023-01-25,2023-01-29,CUST-0086,PRD-017,R103,In-Store,Bank Transfer,1,139,0.05,132.05,65,67.05
ORD-2023-02528,2023-01-25,2023-01-29,CUST-0054,PRD-008,R104,Distributor,PayPal,4,49,0,196,72,124
ORD-2023-02570,2023-01-25,2023-01-28,CUST-0222,PRD-023,R102,In-Store,Bank Transfer,5,149,0,745,325,420
ORD-2023-03232,2023-01-25,2023-01-29,CUST-0026,PRD-011,R104,Online,Credit Card,3,499,0.2,1197.6,780,417.6
ORD-2023-01903,2023-01-26,2023-01-27,CUST-0120,PRD-021,R105,In-Store,PayPal,2,289,0,578,240,338
ORD-2023-02600,2023-01-26,2023-01-31,CUST-0025,PRD-014,R104,Distributor,Credit Card,5,22,0.05,104.5,40,64.5
ORD-2023-02758,2023-01-26,2023-01-28,CUST-0153,PRD-021,R108,Online,Cash,1,289,0,289,120,169
ORD-2023-03159,2023-01-26,2023-01-29,CUST-0114,PRD-005,R106,Online,PayPal,2,39,0.05,74.1,30,44.1
ORD-2023-03412,2023-01-26,2023-01-28,CUST-0023,PRD-012,R106,Distributor,Bank Transfer,2,199,0,398,180,218
ORD-2023-00900,2023-01-27,2023-01-28,CUST-0041,PRD-001,R102,In-Store,Bank Transfer,2,999,0.05,1898.1,1300,598.1
ORD-2023-01803,2023-01-27,2023-01-28,CUST-0161,PRD-011,R102,Online,Cash,1,499,0.05,474.05,260,214.05
ORD-2023-01927,2023-01-27,2023-01-29,CUST-0225,PRD-015,R101,In-Store,PayPal,1,15,0.1,13.5,5,8.5
ORD-2023-00834,2023-01-28,2023-02-02,CUST-0046,PRD-016,R103,Distributor,Cash,3,24,0.1,64.8,27,37.8
ORD-2023-00949,2023-01-28,2023-01-30,CUST-0121,PRD-026,R108,Distributor,Credit Card,3,210,0.05,598.5,285,313.5
ORD-2023-01357,2023-01-28,2023-01-31,CUST-0206,PRD-016,R101,In-Store,PayPal,4,24,0,96,36,60
ORD-2023-00197,2023-01-29,2023-02-01,CUST-0136,PRD-016,R102,In-Store,Bank Transfer,4,24,0.05,91.2,36,55.2
ORD-2023-00461,2023-01-29,2023-01-30,CUST-0047,PRD-028,R106,Distributor,Credit Card,1,135,0.15,114.75,60,54.75
ORD-2023-01397,2023-01-29,2023-02-02,CUST-0144,PRD-019,R101,Distributor,Bank Transfer,3,175,0.2,420,225,195
ORD-2023-01426,2023-01-29,2023-01-31,CUST-0090,PRD-018,R102,In-Store,Credit Card,6,85,0.05,484.5,240,244.5
ORD-2023-00688,2023-01-30,2023-02-04,CUST-0041,PRD-020,R108,Online,PayPal,4,230,0.05,874,440,434
ORD-2023-01407,2023-01-31,2023-02-03,CUST-0131,PRD-002,R105,In-Store,Credit Card,1,1699,0.05,1614.05,1100,514.05
ORD-2023-03289,2023-01-31,2023-02-02,CUST-0052,PRD-025,R106,Distributor,Bank Transfer,4,620,0.05,2356,1160,1196
ORD-2023-00384,2023-02-01,2023-02-05,CUST-0248,PRD-007,R106,Online,Bank Transfer,6,129,0.05,735.3,330,405.3
ORD-2023-00833,2023-02-01,2023-02-02,CUST-0122,PRD-025,R105,Distributor,Credit Card,4,620,0.15,2108,1160,948
ORD-2023-00845,2023-02-01,2023-02-06,CUST-0027,PRD-002,R103,In-Store,Bank Transfer,2,1699,0.1,3058.2,2200,858.2
ORD-2023-02444,2023-02-01,2023-02-03,CUST-0073,PRD-009,R103,Distributor,PayPal,1,329,0.05,312.55,180,132.55
ORD-2023-02761,2023-02-01,2023-02-02,CUST-0202,PRD-018,R107,Online,PayPal,4,85,0,340,160,180
ORD-2023-01227,2023-02-02,2023-02-06,CUST-0113,PRD-014,R101,Online,Cash,4,22,0,88,32,56
ORD-2023-01466,2023-02-02,2023-02-04,CUST-0233,PRD-004,R103,In-Store,Bank Transfer,6,2199,0,13194,8400,4794
ORD-2023-02160,2023-02-02,2023-02-07,CUST-0197,PRD-005,R101,In-Store,Credit Card,5,39,0,195,75,120
ORD-2023-00793,2023-02-03,2023-02-05,CUST-0008,PRD-011,R105,In-Store,PayPal,5,499,0,2495,1300,1195
ORD-2023-01294,2023-02-03,2023-02-07,CUST-0091,PRD-002,R103,Distributor,Bank Transfer,3,1699,0.2,4077.6,3300,777.6
ORD-2023-01516,2023-02-03,2023-02-05,CUST-0211,PRD-021,R108,In-Store,Credit Card,2,289,0,578,240,338
ORD-2023-01955,2023-02-03,2023-02-04,CUST-0226,PRD-023,R102,Online,Bank Transfer,2,149,0,298,130,168
ORD-2023-01983,2023-02-03,2023-02-04,CUST-0205,PRD-027,R105,Online,Cash,1,260,0.1,234,115,119
ORD-2023-02280,2023-02-03,2023-02-06,CUST-0245,PRD-023,R108,In-Store,Credit Card,6,149,0.05,849.3,390,459.3
ORD-2023-00170,2023-02-04,2023-02-06,CUST-0235,PRD-026,R106,Distributor,PayPal,3,210,0.1,567,285,282
ORD-2023-03101,2023-02-04,2023-02-07,CUST-0211,PRD-016,R104,Distributor,Bank Transfer,2,24,0,48,18,30
ORD-2023-00213,2023-02-05,2023-02-06,CUST-0096,PRD-008,R104,In-Store,PayPal,5,49,0.15,208.25,90,118.25
ORD-2023-00501,2023-02-05,2023-02-08,CUST-0199,PRD-024,R108,In-Store,PayPal,4,549,0.15,1866.6,960,906.6
ORD-2023-00555,2023-02-05,2023-02-06,CUST-0127,PRD-021,R101,Distributor,Bank Transfer,5,289,0,1445,600,845
ORD-2023-01936,2023-02-05,2023-02-08,CUST-0098,PRD-020,R104,Distributor,PayPal,3,230,0.05,655.5,330,325.5
ORD-2023-02034,2023-02-05,2023-02-09,CUST-0170,PRD-014,R102,Online,Credit Card,1,22,0,22,8,14
ORD-2023-01742,2023-02-06,2023-02-08,CUST-0177,PRD-005,R104,Distributor,PayPal,3,39,0.05,111.15,45,66.15
ORD-2023-02062,2023-02-06,2023-02-08,CUST-0036,PRD-007,R107,Distributor,Credit Card,4,129,0.2,412.8,220,192.8
ORD-2023-03239,2023-02-06,2023-02-07,CUST-0014,PRD-002,R108,Distributor,Bank Transfer,3,1699,0.15,4332.45,3300,1032.45
ORD-2023-03340,2023-02-06,2023-02-09,CUST-0152,PRD-003,R101,Online,PayPal,5,749,0,3745,2400,1345
ORD-2023-00249,2023-02-07,2023-02-12,CUST-0164,PRD-004,R104,Distributor,Cash,6,2199,0.05,12534.3,8400,4134.3
ORD-2023-01335,2023-02-08,2023-02-13,CUST-0247,PRD-002,R103,Online,PayPal,2,1699,0.1,3058.2,2200,858.2
ORD-2023-02208,2023-02-09,2023-02-10,CUST-0076,PRD-002,R105,In-Store,Bank Transfer,6,1699,0.15,8664.9,6600,2064.9
ORD-2023-03005,2023-02-09,2023-02-10,CUST-0245,PRD-005,R104,Distributor,PayPal,6,39,0,234,90,144
ORD-2023-00130,2023-02-10,2023-02-12,CUST-0178,PRD-004,R106,Distributor,Bank Transfer,6,2199,0.05,12534.3,8400,4134.3
ORD-2023-01132,2023-02-10,2023-02-13,CUST-0080,PRD-004,R106,Distributor,PayPal,1,2199,0.05,2089.05,1400,689.05
ORD-2023-02456,2023-02-10,2023-02-12,CUST-0173,PRD-022,R101,Distributor,Bank Transfer,5,450,0.2,1800,1050,750
ORD-2023-00013,2023-02-11,2023-02-12,CUST-0163,PRD-022,R102,In-Store,PayPal,5,450,0.1,2025,1050,975
ORD-2023-00934,2023-02-11,2023-02-14,CUST-0020,PRD-022,R104,Distributor,Cash,3,450,0,1350,630,720
ORD-2023-01719,2023-02-11,2023-02-12,CUST-0098,PRD-022,R104,Distributor,Bank Transfer,5,450,0.05,2137.5,1050,1087.5
ORD-2023-01758,2023-02-11,2023-02-12,CUST-0085,PRD-004,R105,Online,PayPal,2,2199,0.05,4178.1,2800,1378.1
ORD-2023-01834,2023-02-11,2023-02-15,CUST-0010,PRD-004,R107,Distributor,Credit Card,6,2199,0,13194,8400,4794
ORD-2023-01943,2023-02-11,2023-02-14,CUST-0122,PRD-013,R101,Online,Credit Card,4,28,0,112,56,56
ORD-2023-02984,2023-02-11,2023-02-13,CUST-0131,PRD-003,R101,In-Store,Credit Card,1,749,0.05,711.55,480,231.55
ORD-2023-00311,2023-02-12,2023-02-14,CUST-0002,PRD-027,R101,In-Store,Credit Card,4,260,0.05,988,460,528
ORD-2023-00586,2023-02-12,2023-02-13,CUST-0027,PRD-014,R104,In-Store,Bank Transfer,3,22,0,66,24,42
ORD-2023-01639,2023-02-12,2023-02-13,CUST-0217,PRD-003,R101,Distributor,PayPal,6,749,0.05,4269.3,2880,1389.3
ORD-2023-02635,2023-02-12,2023-02-14,CUST-0142,PRD-026,R103,Distributor,Cash,1,210,0,210,95,115
ORD-2023-02677,2023-02-12,2023-02-14,CUST-0072,PRD-008,R101,In-Store,Cash,2,49,0.2,78.4,36,42.4
ORD-2023-02764,2023-02-12,2023-02-15,CUST-0058,PRD-025,R108,In-Store,Bank Transfer,5,620,0,3100,1450,1650
ORD-2023-02965,2023-02-12,2023-02-15,CUST-0023,PRD-020,R107,Distributor,PayPal,3,230,0.2,552,330,222
ORD-2023-00653,2023-02-13,2023-02-14,CUST-0074,PRD-015,R104,Distributor,Bank Transfer,2,15,0,30,10,20
ORD-2023-01729,2023-02-13,2023-02-18,CUST-0238,PRD-025,R104,Online,Bank Transfer,2,620,0.05,1178,580,598
ORD-2023-02170,2023-02-13,2023-02-14,CUST-0063,PRD-025,R107,In-Store,Credit Card,3,620,0,1860,870,990
ORD-2023-03417,2023-02-14,2023-02-17,CUST-0123,PRD-013,R101,Online,PayPal,1,28,0.15,23.8,14,9.8
ORD-2023-00256,2023-02-15,2023-02-17,CUST-0049,PRD-028,R101,Online,Cash,2,135,0,270,120,150
ORD-2023-02077,2023-02-15,2023-02-19,CUST-0181,PRD-023,R107,Online,Credit Card,3,149,0.05,424.65,195,229.65
ORD-2023-02647,2023-02-15,2023-02-18,CUST-0212,PRD-014,R104,Online,Bank Transfer,2,22,0.1,39.6,16,23.6
ORD-2023-03104,2023-02-15,2023-02-18,CUST-0169,PRD-018,R106,Distributor,Credit Card,4,85,0.15,289,160,129
ORD-2023-01696,2023-02-17,2023-02-18,CUST-0019,PRD-002,R102,Online,Bank Transfer,3,1699,0.05,4842.15,3300,1542.15
ORD-2023-00288,2023-02-18,2023-02-20,CUST-0164,PRD-012,R107,Online,Credit Card,1,199,0.2,159.2,90,69.2
ORD-2023-00511,2023-02-18,2023-02-19,CUST-0029,PRD-004,R101,Distributor,Bank Transfer,5,2199,0.2,8796,7000,1796
ORD-2023-00685,2023-02-18,2023-02-21,CUST-0159,PRD-010,R105,Online,Bank Transfer,1,799,0,799,420,379
ORD-2023-00893,2023-02-18,2023-02-21,CUST-0194,PRD-007,R105,Distributor,Credit Card,2,129,0.05,245.1,110,135.1
ORD-2023-01309,2023-02-18,2023-02-19,CUST-0101,PRD-013,R101,Distributor,PayPal,1,28,0.15,23.8,14,9.8
ORD-2023-01678,2023-02-18,2023-02-21,CUST-0129,PRD-001,R103,Online,Bank Transfer,4,999,0.05,3796.2,2600,1196.2
ORD-2023-03110,2023-02-18,2023-02-20,CUST-0226,PRD-007,R102,In-Store,Cash,1,129,0,129,55,74
ORD-2023-03257,2023-02-19,2023-02-23,CUST-0002,PRD-013,R104,Online,PayPal,3,28,0.05,79.8,42,37.8
ORD-2023-00721,2023-02-20,2023-02-22,CUST-0221,PRD-019,R107,Online,Credit Card,3,175,0,525,225,300
ORD-2023-02015,2023-02-20,2023-02-23,CUST-0004,PRD-010,R105,Distributor,Credit Card,2,799,0.15,1358.3,840,518.3
ORD-2023-02999,2023-02-20,2023-02-25,CUST-0206,PRD-020,R102,Online,PayPal,2,230,0.2,368,220,148
ORD-2023-00732,2023-02-21,2023-02-24,CUST-0143,PRD-020,R105,Distributor,PayPal,3,230,0.1,621,330,291
ORD-2023-00986,2023-02-21,2023-02-24,CUST-0016,PRD-006,R103,Online,Bank Transfer,3,89,0.05,253.65,105,148.65
ORD-2023-02657,2023-02-21,2023-02-22,CUST-0140,PRD-015,R101,Distributor,PayPal,2,15,0.05,28.5,10,18.5
ORD-2023-02148,2023-02-22,2023-02-25,CUST-0098,PRD-006,R107,In-Store,PayPal,1,89,0.1,80.1,35,45.1
ORD-2023-02290,2023-02-22,2023-02-27,CUST-0065,PRD-024,R108,Distributor,Cash,5,549,0,2745,1200,1545
ORD-2023-03393,2023-02-22,2023-02-24,CUST-0040,PRD-018,R104,Distributor,PayPal,2,85,0.15,144.5,80,64.5
ORD-2023-03419,2023-02-22,2023-02-23,CUST-0119,PRD-022,R107,Online,Credit Card,5,450,0.05,2137.5,1050,1087.5
ORD-2023-00264,2023-02-23,2023-02-27,CUST-0213,PRD-026,R104,Distributor,Cash,2,210,0,420,190,230
ORD-2023-02378,2023-02-23,2023-02-24,CUST-0173,PRD-023,R108,Online,PayPal,4,149,0,596,260,336
ORD-2023-02713,2023-02-23,2023-02-24,CUST-0069,PRD-010,R103,Online,Cash,4,799,0.15,2716.6,1680,1036.6
ORD-2023-00619,2023-02-24,2023-02-28,CUST-0184,PRD-024,R106,In-Store,PayPal,1,549,0,549,240,309
ORD-2023-03332,2023-02-24,2023-02-25,CUST-0097,PRD-013,R105,In-Store,Credit Card,6,28,0.15,142.8,84,58.8
ORD-2023-01337,2023-02-25,2023-02-28,CUST-0201,PRD-001,R105,Online,Bank Transfer,4,999,0.15,3396.6,2600,796.6
ORD-2023-02549,2023-02-25,2023-02-27,CUST-0186,PRD-011,R106,Online,Cash,2,499,0.05,948.1,520,428.1
ORD-2023-02662,2023-02-25,2023-03-02,CUST-0091,PRD-001,R107,Distributor,Credit Card,1,999,0.05,949.05,650,299.05
ORD-2023-01781,2023-02-28,2023-03-03,CUST-0200,PRD-004,R104,Distributor,Cash,5,2199,0.15,9345.75,7000,2345.75
ORD-2023-01826,2023-02-28,2023-03-05,CUST-0150,PRD-003,R104,In-Store,Cash,5,749,0.05,3557.75,2400,1157.75
ORD-2023-02006,2023-03-01,2023-03-06,CUST-0143,PRD-012,R107,Online,Cash,5,199,0.1,895.5,450,445.5
ORD-2023-02433,2023-03-02,2023-03-04,CUST-0214,PRD-014,R102,Distributor,PayPal,2,22,0.05,41.8,16,25.8
ORD-2023-00346,2023-03-03,2023-03-07,CUST-0188,PRD-020,R107,Online,PayPal,1,230,0,230,110,120
ORD-2023-00784,2023-03-03,2023-03-05,CUST-0091,PRD-001,R104,In-Store,Cash,5,999,0.1,4495.5,3250,1245.5
ORD-2023-00954,2023-03-03,2023-03-05,CUST-0196,PRD-008,R103,Online,Credit Card,3,49,0,147,54,93
ORD-2023-03286,2023-03-03,2023-03-05,CUST-0220,PRD-016,R108,Distributor,Bank Transfer,1,24,0,24,9,15
ORD-2023-00165,2023-03-04,2023-03-05,CUST-0026,PRD-015,R102,In-Store,Credit Card,6,15,0,90,30,60
ORD-2023-00337,2023-03-04,2023-03-08,CUST-0114,PRD-017,R101,Distributor,PayPal,3,139,0,417,195,222
ORD-2023-00701,2023-03-04,2023-03-05,CUST-0145,PRD-004,R104,In-Store,PayPal,1,2199,0.2,1759.2,1400,359.2
ORD-2023-00297,2023-03-05,2023-03-10,CUST-0049,PRD-026,R107,Online,Bank Transfer,2,210,0.05,399,190,209
ORD-2023-00965,2023-03-05,2023-03-09,CUST-0128,PRD-012,R103,Distributor,PayPal,3,199,0.1,537.3,270,267.3
ORD-2023-01187,2023-03-05,2023-03-10,CUST-0062,PRD-016,R105,Distributor,Bank Transfer,1,24,0,24,9,15
ORD-2023-01209,2023-03-05,2023-03-07,CUST-0195,PRD-013,R105,Distributor,PayPal,1,28,0.05,26.6,14,12.6
ORD-2023-02875,2023-03-06,2023-03-11,CUST-0104,PRD-006,R102,Online,PayPal,3,89,0.2,213.6,105,108.6
ORD-2023-03157,2023-03-06,2023-03-07,CUST-0086,PRD-014,R106,Online,PayPal,5,22,0,110,40,70
ORD-2023-00496,2023-03-07,2023-03-11,CUST-0134,PRD-013,R103,Distributor,Cash,6,28,0.05,159.6,84,75.6
ORD-2023-00765,2023-03-07,2023-03-12,CUST-0231,PRD-018,R102,In-Store,Cash,1,85,0,85,40,45
ORD-2023-01506,2023-03-07,2023-03-08,CUST-0070,PRD-014,R101,Online,PayPal,1,22,0,22,8,14
ORD-2023-02450,2023-03-07,2023-03-12,CUST-0201,PRD-027,R103,In-Store,Bank Transfer,1,260,0.15,221,115,106
ORD-2023-02844,2023-03-07,2023-03-09,CUST-0217,PRD-023,R108,Online,Credit Card,2,149,0.1,268.2,130,138.2
ORD-2023-00530,2023-03-08,2023-03-09,CUST-0125,PRD-014,R104,Distributor,Credit Card,4,22,0.2,70.4,32,38.4
ORD-2023-00783,2023-03-08,2023-03-12,CUST-0108,PRD-008,R105,Online,Cash,2,49,0.05,93.1,36,57.1
ORD-2023-00930,2023-03-08,2023-03-13,CUST-0142,PRD-005,R105,Online,Credit Card,4,39,0.05,148.2,60,88.2
ORD-2023-01578,2023-03-08,2023-03-09,CUST-0126,PRD-003,R103,Distributor,Cash,1,749,0.05,711.55,480,231.55
ORD-2023-01902,2023-03-08,2023-03-12,CUST-0093,PRD-012,R102,Online,Bank Transfer,1,199,0.15,169.15,90,79.15
ORD-2023-01191,2023-03-09,2023-03-10,CUST-0167,PRD-026,R101,Online,Bank Transfer,5,210,0.1,945,475,470
ORD-2023-02095,2023-03-09,2023-03-13,CUST-0178,PRD-020,R108,Online,PayPal,6,230,0.05,1311,660,651
ORD-2023-02327,2023-03-09,2023-03-11,CUST-0037,PRD-020,R107,In-Store,PayPal,6,230,0.1,1242,660,582
ORD-2023-00855,2023-03-10,2023-03-14,CUST-0036,PRD-002,R105,Distributor,Bank Transfer,2,1699,0.05,3228.1,2200,1028.1
ORD-2023-00892,2023-03-10,2023-03-14,CUST-0049,PRD-014,R105,Online,PayPal,2,22,0,44,16,28
ORD-2023-01975,2023-03-10,2023-03-14,CUST-0011,PRD-020,R102,In-Store,Credit Card,4,230,0.05,874,440,434
ORD-2023-02627,2023-03-10,2023-03-11,CUST-0232,PRD-001,R103,Online,Cash,4,999,0,3996,2600,1396
ORD-2023-02955,2023-03-10,2023-03-13,CUST-0023,PRD-021,R103,In-Store,Credit Card,5,289,0.2,1156,600,556
ORD-2023-02474,2023-03-11,2023-03-15,CUST-0164,PRD-003,R104,In-Store,PayPal,6,749,0.2,3595.2,2880,715.2
ORD-2023-03323,2023-03-11,2023-03-14,CUST-0154,PRD-004,R102,Distributor,Credit Card,1,2199,0.1,1979.1,1400,579.1
ORD-2023-00153,2023-03-12,2023-03-13,CUST-0122,PRD-010,R102,Online,Cash,3,799,0.2,1917.6,1260,657.6
ORD-2023-01184,2023-03-12,2023-03-14,CUST-0150,PRD-007,R106,In-Store,Bank Transfer,2,129,0.05,245.1,110,135.1
